year,topic,neighbor,cosine,rank
2016,0,5,0.8365,2
2016,0,3,0.8336,3
2016,1,2,0.8878,1
2016,1,7,0.8516,2
2016,1,4,0.8447,3
2016,2,1,0.8878,1
2016,2,7,0.8518,2
2016,2,4,0.8503,3
2016,3,0,0.8336,1
2016,3,1,0.8223,2
2016,3,2,0.7238,3
2016,4,2,0.8503,1
2016,4,1,0.8447,2
2016,4,5,0.7937,3
2016,5,1,0.8444,1
2016,5,0,0.8365,2
2016,5,2,0.8155,3
2016,6,0,0.7398,1
2016,6,3,0.6320,2
2016,6,5,0.5767,3
2016,7,2,0.8518,1
2016,7,1,0.8516,2
2016,7,0,0.8247,3
2016,8,0,0.6523,1
2016,8,3,0.6067,2
2016,8,5,0.5945,3
2017,0,3,0.8955,1
2017,0,1,0.8694,2
2017,0,7,0.8401,3
2017,1,2,0.8817,1
2017,1,3,0.8704,2
2017,1,0,0.8694,3
2017,2,1,0.8817,1
2017,2,7,0.8794,2
2017,2,4,0.8439,3
2017,3,0,0.8955,1
2017,3,1,0.8704,2
2017,3,7,0.7942,3
2017,4,1,0.8476,1
2017,4,2,0.8439,2
2017,4,5,0.8047,3
2017,5,2,0.8372,1
2017,5,1,0.8193,2
2017,5,4,0.8047,3
2017,7,2,0.8794,1
2017,7,1,0.8636,2
2017,7,0,0.8401,3
2017,8,0,0.6483,1
2017,8,3,0.6443,2
2017,8,1,0.5811,3
2018,0,6,0.8944,1
2018,0,1,0.8720,2
2018,0,3,0.8648,3
2018,1,7,0.8892,1
2018,1,0,0.8720,2
2018,1,2,0.8709,3
2018,2,1,0.8709,1
2018,2,7,0.8577,2
2018,2,4,0.8394,3
2018,3,0,0.8648,1
2018,3,1,0.8423,2
2018,3,6,0.8018,3
2018,4,2,0.8394,1
2018,4,1,0.8343,2
2018,4,7,0.7656,3
2018,5,0,0.8420,1
2018,5,1,0.7961,2
2018,5,7,0.7749,3
2018,6,0,0.8944,1
2018,6,3,0.8018,2
2018,6,1,0.7989,3
2018,7,1,0.8892,1
2018,7,2,0.8577,2
2018,7,0,0.8494,3
2019,0,1,0.8781,1
2019,0,3,0.8571,2
2019,0,5,0.8532,3
2019,1,7,0.8860,1
2019,1,0,0.8781,2
2019,1,2,0.8706,3
2019,2,1,0.8706,1
2019,2,7,0.8608,2
2019,2,4,0.8438,3
2019,3,0,0.8571,1
2019,3,1,0.8505,2
2019,3,6,0.7937,3
2019,4,2,0.8438,1
2019,4,1,0.8338,2
2019,4,7,0.7438,3
2019,5,0,0.8532,1
2019,5,1,0.8487,2
2019,5,7,0.8169,3
2019,6,0,0.8460,1
2019,6,3,0.7937,2
2019,6,1,0.7525,3
2019,7,1,0.8860,1
2019,7,2,0.8608,2
2019,7,0,0.8424,3
2019,8,0,0.8178,1
2019,8,5,0.7942,2
2019,8,1,0.7766,3
2020,0,1,0.8655,1
2020,0,7,0.8637,2
2020,0,5,0.8581,3
2020,1,7,0.8706,1
2020,1,0,0.8655,2
2020,1,2,0.8628,3
2020,2,1,0.8628,1
2020,2,7,0.8326,2
2020,2,4,0.8096,3
2020,3,1,0.8462,1
2020,3,0,0.8459,2
2020,3,6,0.7815,3
2020,4,1,0.8160,1
2020,4,2,0.8096,2
2020,4,7,0.7448,3
2020,5,0,0.8581,1
2020,5,7,0.8390,2
2020,5,1,0.8305,3
2020,6,0,0.8489,1
2020,6,3,0.7815,2
2020,6,1,0.7253,3
2020,7,1,0.8706,1
2020,7,0,0.8637,2
2020,7,5,0.8390,3
2021,0,3,0.9074,1
2021,0,1,0.8709,2
2021,0,5,0.8650,3
2021,1,2,0.8877,1
2021,1,3,0.8803,2
2021,1,0,0.8709,3
2021,2,1,0.8877,1
2021,2,4,0.8456,2
2021,2,5,0.8408,3
2021,3,0,0.9074,1
2021,3,1,0.8803,2
2021,3,8,0.8299,3
2021,4,2,0.8456,1
2021,4,1,0.8293,2
2021,4,5,0.7487,3
2021,5,0,0.8650,1
2021,5,1,0.8640,2
2021,5,7,0.8433,3
2021,6,0,0.7942,1
2021,6,3,0.7701,2
2021,6,1,0.7197,3
2021,7,5,0.8433,1
2021,7,2,0.8366,2
2021,7,0,0.8259,3
2021,8,0,0.8409,1
2021,8,5,0.8390,2
2021,8,3,0.8299,3
2022,0,3,0.8871,1
2022,0,1,0.8694,2
2022,0,8,0.8492,3
2022,1,0,0.8694,1
2022,1,5,0.8649,2
2022,1,2,0.8646,3
2022,2,1,0.8646,1
2022,2,5,0.8287,2
2022,2,4,0.8083,3
2022,3,0,0.8871,1
2022,3,1,0.8581,2
2022,3,8,0.7759,3
2022,4,1,0.8425,1
2022,4,2,0.8083,2
